start_uhf34_neighborhood,end_uhf34_neighborhood,n
Downtown Heights Slope (Start),Downtown Heights Slope (End),73578
Greenpoint (Start),Greenpoint (End),29760
Downtown Heights Slope (Start),Bedford Stuyvesant Crown Heights (End),13502
Bedford Stuyvesant Crown Heights (Start),Downtown Heights Slope (End),13103
Williamsburg Bushwick (Start),Williamsburg Bushwick (End),9191
Bedford Stuyvesant Crown Heights (Start),Bedford Stuyvesant Crown Heights (End),8334
Williamsburg Bushwick (Start),Downtown Heights Slope (End),7571
Downtown Heights Slope (Start),Williamsburg Bushwick (End),7509
Williamsburg Bushwick (Start),Greenpoint (End),6507
Greenpoint (Start),Williamsburg Bushwick (End),6227
East New York (Start),Downtown Heights Slope (End),5580
Downtown Heights Slope (Start),East New York (End),5506
Bedford Stuyvesant Crown Heights (Start),Williamsburg Bushwick (End),4467
Williamsburg Bushwick (Start),Bedford Stuyvesant Crown Heights (End),4307
Greenpoint (Start),Downtown Heights Slope (End),3139
Downtown Heights Slope (Start),Greenpoint (End),3134
Downtown Heights Slope (Start),East Flatbush Flatbush (End),2793
East Flatbush Flatbush (Start),Downtown Heights Slope (End),2759
Bedford Stuyvesant Crown Heights (Start),East New York (End),2101
Williamsburg Bushwick (Start),East New York (End),2043
Greenpoint (Start),East New York (End),1984
East New York (Start),Bedford Stuyvesant Crown Heights (End),1953
East New York (Start),Williamsburg Bushwick (End),1952
East New York (Start),Greenpoint (End),1909
Greenpoint (Start),Bedford Stuyvesant Crown Heights (End),1609
Bedford Stuyvesant Crown Heights (Start),East Flatbush Flatbush (End),1602
Bedford Stuyvesant Crown Heights (Start),Greenpoint (End),1588
East Flatbush Flatbush (Start),Bedford Stuyvesant Crown Heights (End),1487
Bensonhurst Bay Ridge (Start),Downtown Heights Slope (End),1040
East New York (Start),East New York (End),1032
East Flatbush Flatbush (Start),East Flatbush Flatbush (End),1007
Downtown Heights Slope (Start),Bensonhurst Bay Ridge (End),984
East Flatbush Flatbush (Start),Williamsburg Bushwick (End),765
Williamsburg Bushwick (Start),East Flatbush Flatbush (End),748
Downtown Heights Slope (Start),Sunset Park (End),613
Sunset Park (Start),Downtown Heights Slope (End),557
East Flatbush Flatbush (Start),East New York (End),374
East New York (Start),East Flatbush Flatbush (End),326
East Flatbush Flatbush (Start),Greenpoint (End),298
Greenpoint (Start),East Flatbush Flatbush (End),297
Bedford Stuyvesant Crown Heights (Start),Bensonhurst Bay Ridge (End),294
Bensonhurst Bay Ridge (Start),Bedford Stuyvesant Crown Heights (End),278
Bensonhurst Bay Ridge (Start),East New York (End),130
Coney Island Sheepshead Bay (Start),Williamsburg Bushwick (End),124
Coney Island Sheepshead Bay (Start),Downtown Heights Slope (End),111
Williamsburg Bushwick (Start),Coney Island Sheepshead Bay (End),94
Downtown Heights Slope (Start),Coney Island Sheepshead Bay (End),89
East New York (Start),Bensonhurst Bay Ridge (End),87
Bedford Stuyvesant Crown Heights (Start),Sunset Park (End),82
Sunset Park (Start),Bedford Stuyvesant Crown Heights (End),81
Sunset Park (Start),Sunset Park (End),80
Williamsburg Bushwick (Start),Bensonhurst Bay Ridge (End),71
Coney Island Sheepshead Bay (Start),Greenpoint (End),70
Greenpoint (Start),Coney Island Sheepshead Bay (End),69
Coney Island Sheepshead Bay (Start),Bedford Stuyvesant Crown Heights (End),68
Bensonhurst Bay Ridge (Start),Williamsburg Bushwick (End),59
Bedford Stuyvesant Crown Heights (Start),Coney Island Sheepshead Bay (End),56
East Flatbush Flatbush (Start),Bensonhurst Bay Ridge (End),46
East New York (Start),Coney Island Sheepshead Bay (End),42
Sunset Park (Start),East Flatbush Flatbush (End),41
Bensonhurst Bay Ridge (Start),Bensonhurst Bay Ridge (End),38
East Flatbush Flatbush (Start),Sunset Park (End),32
Bensonhurst Bay Ridge (Start),East Flatbush Flatbush (End),31
Sunset Park (Start),Williamsburg Bushwick (End),30
Coney Island Sheepshead Bay (Start),East New York (End),27
Williamsburg Bushwick (Start),Sunset Park (End),25
Sunset Park (Start),East New York (End),24
Coney Island Sheepshead Bay (Start),Coney Island Sheepshead Bay (End),17
Bensonhurst Bay Ridge (Start),Sunset Park (End),16
Bensonhurst Bay Ridge (Start),Greenpoint (End),12
East New York (Start),Sunset Park (End),12
Coney Island Sheepshead Bay (Start),East Flatbush Flatbush (End),11
Greenpoint (Start),Bensonhurst Bay Ridge (End),11
Sunset Park (Start),Bensonhurst Bay Ridge (End),11
Sunset Park (Start),Greenpoint (End),10
Greenpoint (Start),Sunset Park (End),9
East Flatbush Flatbush (Start),Coney Island Sheepshead Bay (End),5
